,link,brand,price,sales,stars,batteries_included,mini,flight_time,is_fpv,resolution,wifi_freq,wifi,gps,remote_control,portable,helix_protector,autoreturn,full_turn,altitude_retention,dual_camara,distance,follow_func
37,https://www.mercadolibre.com.mx/mini-drone-axnen-4k-xt9-3-battery-con-dual-camara-hd-24ghz-3-baterias-oscuro-gris/p/MLM26080871?pdp_filters=category:MLM149102#searchVariation=MLM26080871&position=8&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,axnen,891,5000,4.0,True,True,True,False,2,2.4,True,False,True,True,False,True,True,True,True,6000,False
38,https://articulo.mercadolibre.com.mx/MLM-2278762034-mini-drone-4k-drone-con-camara-profesional-control-de-dron-_JM#position=25&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,hytobp,825,50,4.0,True,True,True,True,4,2.4,True,True,True,True,False,False,False,False,False,200,False
39,https://www.mercadolibre.com.mx/mini-drone-dji-mavic-mini-2-drdji018-fly-more-combo-con-camara-4k-light-gray-3-baterias/p/MLM16330820?offer_type=BEST_INSTALLMENTS&pdp_filters=category:MLM149102#position=-1&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,dji,12399,1000,4.0,True,True,True,True,4,2.4,True,True,True,True,False,True,True,True,False,200,False
40,https://articulo.mercadolibre.com.mx/MLM-2326381508-axnen-f196-drone-sin-escobillas-con-4k-camara-dual-2baterias-_JM#position=29&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,axnen,978,5,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,True,999,False
41,https://articulo.mercadolibre.com.mx/MLM-1361324678-mini-drone-para-ninos-principiantes-24ghz-rc-quadcopter-_JM#position=40&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,lostrain,415,1000,4.5,True,True,True,False,0,2.4,False,False,True,False,False,False,False,False,False,200,False
43,https://articulo.mercadolibre.com.mx/MLM-1722706501-drone-a-control-remoto-xt2-wifi-con-camara-4k-hd3-baterias-_JM#position=44&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,sjrc,665,500,4.0,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,False,200,False
45,https://www.mercadolibre.com.mx/mini-drone-dji-spark-fly-more-combo-con-camara-fullhd-white-2-baterias/p/MLM15050935?pdp_filters=category:MLM149102#searchVariation=MLM15050935&position=18&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,dji,8999,100,4.0,True,True,True,False,3,2.4,True,True,True,True,True,True,False,True,False,200,True
46,https://articulo.mercadolibre.com.mx/MLM-1884589632-mini-drone-con-camara-hd-2-baterias-y-maletin-de-transporte-_JM#position=39&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,fopnew,416,100,4.0,True,True,True,False,3,2.4,False,False,True,False,False,False,False,False,False,200,False
47,https://articulo.mercadolibre.com.mx/MLM-2270642416-fpv-mini-dron-gps-profesional-quadcoptercamara8k3-baterias-_JM#position=35&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,shilny,2000,50,4.1,True,True,True,True,8,5.0,True,True,True,True,False,True,False,True,False,200,True
49,https://articulo.mercadolibre.com.mx/MLM-1649198292-mini-dron-recargable-con-8k-camara-doble-y-2-baterias-_JM#position=46&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,viopy,499,1000,3.6,True,True,True,False,8,2.4,False,False,True,True,False,False,False,False,False,200,False
50,https://www.mercadolibre.com.mx/mini-drone-deerc-d20-con-camara-hd-plateado-2-baterias/p/MLM16214394?pdp_filters=category:MLM149102#searchVariation=MLM16214394&position=15&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,deerc,666,1000,3.9,True,True,True,False,2,2.4,True,False,True,False,True,False,True,True,False,100,False
51,https://articulo.mercadolibre.com.mx/MLM-1503873651-dron-4k-gps-hs720g-drones-con-camara-eis-y-2-baterias-_JM#position=31&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,holy_tone,6624,50,4.6,True,False,True,True,4,2.4,True,True,True,True,False,True,False,False,False,200,True
