,Price,Sales,Stars,Marca,Modelo,Unidades por pack,Cantidad de baterías incluidas,Es mini,Tiempo máximo de vuelo,Es FPV,Resolución máxima de la cámara,Con cámara,Frecuencia de funcionamiento del Wi-Fi,Con Wi-Fi,Con GPS,Con control remoto,Page,Línea,Versión,Color,Tipos de drone,Es plegable,Fabricante,Modelo alfanumérico,Ambientes de uso,Con protector de hélices,Con función de auto retorno,Con giro 360,Con retención de altitud,Temperatura mínima de funcionamiento - Temperatura máxima de funcionamiento,Accesorios incluidos,Con cámara dual,Zoom de la cámara,Velocidad máxima,Resistencia al viento,Máxima distancia de vuelo,Máxima altura de vuelo,Cantidad de motores,Duración de la batería,Con función de seguimiento,Es controlado por smartphone,Con modo sin cabeza,Edad mínima recomendada,Duración del producto,Plazo de repuestos o servicio técnico,Tamaño de la pantalla del control remoto,Con control remoto táctil,Es kit,Usos recomendados,Homologación Anatel Nº
20,520,25,0.0,Genérica,f2,1.0,1.0,Sí,1 h,No,0,No,0 GHz,No,No,Sí,https://articulo.mercadolibre.com.mx/MLM-2590529842-caja-misteriosa-premium-hasta-11-productos-dd-_JM#position=23&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,1,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,381,25,0.0,Genérica,HS190,4.0,2.0,Sí,10 m,No,,No,2.4 GHz,Sí,No,Sí,https://articulo.mercadolibre.com.mx/MLM-2106521494-mini-drone-control-remoto-principiante-para-regalo-de-ninos-_JM#position=48&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Drone,Mini,,mini drone,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,508,5,0.0,Kimhi,Mini Drone,,2.0,Sí,15 m,,4K,Sí,2.4 GHz,Sí,,,https://www.mercadolibre.com.mx/drone-control-remoto-con-par-camara-4k-quadcopter-2-baterias-gris/p/MLM22892254?pdp_filters=category:MLM149102#searchVariation=MLM22892254&position=16&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,,3.0,Gris,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,990,100,0.0,HYTOBP,Drones-S165MAX,1.0,3.0,Sí,100 m,Sí,4K,Sí,5.8 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-2052328626-drone-8k-24g-drone-wifi-plegable-camara-doble-3-baterias-_JM#position=54&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Negro,,,"GPS,WIFI,FULL HD",Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"1,585",500,4.0,Genérica,K80,1.0,2.0,Sí,20 m,Sí,Full HD,Sí,5.8 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-2063113370-drone-con-camara-profesional-8k-gps-5ghz-bateria-repuesto-_JM#position=36&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Spark,Controller Combo,,Aéreo,Sí,,,Exterior,,Sí,,,,,Sí,,,,1200 m,150 m,,20 m,Sí,,Sí,,,,,,,,
25,"1,169",1000,3.9,DeeRC,D20,1.0,2.0,Sí,10 m,,HD,Sí,,Sí,No,Sí,https://www.mercadolibre.com.mx/mini-drone-deerc-d20-con-camara-hd-negro-2-baterias/p/MLM16214395?pdp_filters=category:MLM149102#searchVariation=MLM16214395&position=6&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,,,Negro,Aéreo,,,,,Sí,No,Sí,Sí,0 °C - 40 °C,,,,4 m/s,,,,4.0,,No,,,,,,,,,,
26,393,100,0.0,drone,con camara,1.0,2.0,Sí,15 m,No,480P,Sí,2.4 GHz,Sí,No,Sí,https://articulo.mercadolibre.com.mx/MLM-1502436042-mini-drone-plegable-con-camara-evasion-automatica-obstaculos-_JM#position=49&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Negro,chica,,Remote control drones,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"2,057",5mil,0.0,Bohai,K80,1.0,2.0,Sí,1200 m,Sí,Full HD,Sí,5.8 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-1489545823-drone-con-camara-profesional-8k-a-control-remoto-gps-5ghz-_JM#position=26&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Spark,Controller Combo,,"GPS,WIFI,FULL HD",,,,Exterior,,Sí,,,,"1 x charger cable,1 screwdriver,4 screws,1 manual,1 remote control,4 propellers",Sí,,,,1200 m,150 m,,20 m,Sí,,Sí,,,,,,,,
28,"29,999",5,0.0,DJI,Air 3,3.0,3.0,,,,48 MP,,,,,,https://www.mercadolibre.com.mx/dji-air-3-fly-more-combo-dji-rc-2-color-gris/p/MLM26061260?pdp_filters=category:MLM149102#searchVariation=MLM26061260&position=4&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Fly More Combo RC2,2023,Gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"2,145",100,4.4,LYZRC Drone,L900 PRO SE,1.0,3.0,Sí,25 m,Sí,4K,Sí,5 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-1495630810-dron-lyzrc-l900-pro-se-hd-ccamara-4k-y-3-baterias-naranja-_JM#position=51&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,4k,3 Battery,,Aéreo,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
